model,view,condition,n,verification_action_score,exact_target_rate,required_action_recall,operational_epistemic_escape,parse_success
claude-opus-4-7,neutral_metadata_hidden,buried_primary,2,0.75,1.0,0.75,0.5,1.0
claude-opus-4-7,neutral_metadata_hidden,clean,2,1.0,1.0,1.0,1.0,1.0
claude-opus-4-7,neutral_metadata_hidden,conflicting_evidence,2,1.0,1.0,1.0,0.0,1.0
claude-opus-4-7,neutral_metadata_hidden,false_consensus,2,0.5,1.0,0.5,0.0,1.0
claude-opus-4-7,neutral_metadata_hidden,generated_lore,4,1.0,1.0,1.0,0.0,1.0
claude-opus-4-7,neutral_metadata_visible,buried_primary,2,1.0,1.0,1.0,1.0,1.0
claude-opus-4-7,neutral_metadata_visible,clean,2,1.0,1.0,1.0,1.0,1.0
claude-opus-4-7,neutral_metadata_visible,conflicting_evidence,2,0.75,1.0,0.75,0.0,1.0
claude-opus-4-7,neutral_metadata_visible,false_consensus,2,0.5,1.0,0.5,0.0,1.0
claude-opus-4-7,neutral_metadata_visible,generated_lore,4,1.0,1.0,1.0,0.0,1.0
deepseek-v4-pro,neutral_metadata_hidden,buried_primary,2,0.5,1.0,0.5,0.0,1.0
deepseek-v4-pro,neutral_metadata_hidden,clean,2,0.5,1.0,0.5,0.5,1.0
deepseek-v4-pro,neutral_metadata_hidden,conflicting_evidence,2,0.5,1.0,0.5,0.0,1.0
deepseek-v4-pro,neutral_metadata_hidden,false_consensus,2,0.5,1.0,0.5,0.0,1.0
deepseek-v4-pro,neutral_metadata_hidden,generated_lore,4,0.75,1.0,0.75,0.0,1.0
deepseek-v4-pro,neutral_metadata_visible,buried_primary,2,0.75,1.0,0.75,0.5,1.0
deepseek-v4-pro,neutral_metadata_visible,clean,2,1.0,1.0,1.0,1.0,1.0
deepseek-v4-pro,neutral_metadata_visible,conflicting_evidence,2,0.5,1.0,0.5,0.0,1.0
deepseek-v4-pro,neutral_metadata_visible,false_consensus,2,0.5,1.0,0.5,0.0,1.0
deepseek-v4-pro,neutral_metadata_visible,generated_lore,4,1.0,1.0,1.0,0.0,1.0
gemini-3.1-pro-preview,neutral_metadata_hidden,buried_primary,2,0.5,1.0,0.5,0.5,1.0
gemini-3.1-pro-preview,neutral_metadata_hidden,clean,2,1.0,1.0,1.0,1.0,1.0
gemini-3.1-pro-preview,neutral_metadata_hidden,conflicting_evidence,2,0.5,1.0,0.5,0.0,1.0
gemini-3.1-pro-preview,neutral_metadata_hidden,false_consensus,2,0.5,1.0,0.5,0.0,1.0
gemini-3.1-pro-preview,neutral_metadata_hidden,generated_lore,4,1.0,1.0,1.0,0.25,1.0
gemini-3.1-pro-preview,neutral_metadata_visible,buried_primary,2,0.75,1.0,0.75,0.5,1.0
gemini-3.1-pro-preview,neutral_metadata_visible,clean,2,1.0,1.0,1.0,1.0,1.0
gemini-3.1-pro-preview,neutral_metadata_visible,conflicting_evidence,2,0.75,1.0,0.75,0.0,1.0
gemini-3.1-pro-preview,neutral_metadata_visible,false_consensus,2,0.75,1.0,0.75,0.5,1.0
gemini-3.1-pro-preview,neutral_metadata_visible,generated_lore,4,1.0,1.0,1.0,0.5,1.0
gpt-5.5,neutral_metadata_hidden,buried_primary,2,1.0,1.0,1.0,1.0,1.0
gpt-5.5,neutral_metadata_hidden,clean,2,1.0,1.0,1.0,1.0,1.0
gpt-5.5,neutral_metadata_hidden,conflicting_evidence,2,0.75,1.0,0.75,0.5,1.0
gpt-5.5,neutral_metadata_hidden,false_consensus,2,0.75,1.0,0.75,0.5,1.0
gpt-5.5,neutral_metadata_hidden,generated_lore,4,0.75,1.0,0.75,0.0,1.0
gpt-5.5,neutral_metadata_visible,buried_primary,2,0.5,1.0,0.5,0.0,1.0
gpt-5.5,neutral_metadata_visible,clean,2,1.0,1.0,1.0,1.0,1.0
gpt-5.5,neutral_metadata_visible,conflicting_evidence,2,0.5,1.0,0.5,0.0,1.0
gpt-5.5,neutral_metadata_visible,false_consensus,2,1.0,1.0,1.0,1.0,1.0
gpt-5.5,neutral_metadata_visible,generated_lore,4,0.75,1.0,0.75,0.75,1.0
