model,strategy,difficulty,n,cluster_count,escape_rate,escape_rate_row_ci_low,escape_rate_row_ci_high,escape_rate_cluster_ci_low,escape_rate_cluster_ci_high,claim_accuracy,claim_accuracy_row_ci_low,claim_accuracy_row_ci_high,claim_accuracy_cluster_ci_low,claim_accuracy_cluster_ci_high,contaminated_citation_rate,contaminated_citation_rate_row_ci_low,contaminated_citation_rate_row_ci_high,contaminated_citation_rate_cluster_ci_low,contaminated_citation_rate_cluster_ci_high,generated_lore_overclaim_rate,generated_lore_overclaim_rate_row_ci_low,generated_lore_overclaim_rate_row_ci_high,generated_lore_overclaim_rate_cluster_ci_low,generated_lore_overclaim_rate_cluster_ci_high
openai/gpt-4o-mini,hygienic_combo,L3,72,3,0.9305555555555556,0.875,0.9861111111111112,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,hygienic_combo,L4,72,3,0.9027777777777778,0.8333333333333334,0.9722222222222222,0.875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,hygienic_combo,L5,72,3,0.8611111111111112,0.7777777777777778,0.9305555555555556,0.8333333333333334,0.875,0.9861111111111112,0.9444444444444444,1.0,0.9583333333333334,1.0,0.125,0.06944444444444445,0.20833333333333334,0.08333333333333333,0.16666666666666666,0.013888888888888888,0.0,0.05555555555555555,0.0,0.041666666666666664
openai/gpt-4o-mini,naive_bm25,L3,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,naive_bm25,L4,72,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,naive_bm25,L5,72,3,0.027777777777777776,0.0,0.06944444444444445,0.0,0.041666666666666664,0.3194444444444444,0.2222222222222222,0.4305555555555556,0.25,0.375,0.8541666666666666,0.7743055555555556,0.9305555555555556,0.7760416666666666,0.9270833333333334,0.6805555555555556,0.5694444444444444,0.7777777777777778,0.625,0.75
openai/gpt-4o-mini,primary_preserve,L3,72,3,0.875,0.7916666666666666,0.9444444444444444,0.7916666666666666,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,primary_preserve,L4,72,3,0.9166666666666666,0.8472222222222222,0.9722222222222222,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-mini,primary_preserve,L5,72,3,0.9583333333333334,0.9027777777777778,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.036458333333333336,0.0,0.08680555555555555,0.026041666666666668,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,hygienic_combo,L3,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,hygienic_combo,L4,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,hygienic_combo,L5,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,naive_bm25,L3,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,naive_bm25,L4,72,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,naive_bm25,L5,72,3,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.6944444444444444,0.5972222222222222,0.7916666666666666,0.625,0.75,0.8194444444444444,0.7291666666666666,0.90625,0.8020833333333334,0.8333333333333334,0.3055555555555556,0.20833333333333334,0.4027777777777778,0.25,0.375
openai/gpt-5.4-mini,primary_preserve,L3,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,primary_preserve,L4,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,primary_preserve,L5,72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
