model,prompt_condition,condition,n,epistemic_escape,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,parse_success,cost_usd
heuristic-sim,epistemic_hygiene_instruction,buried_primary,20,0.8,0.4,1.0,0.4,0.4,1.0,1.0,0.4,0.2958333333333333,0.2,0.2,0.0,1.0,0.0
heuristic-sim,epistemic_hygiene_instruction,clean,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.0,0.31333333333333335,0.0,0.0,0.0,1.0,0.0
heuristic-sim,epistemic_hygiene_instruction,conflicting_evidence,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.4,0.31333333333333335,0.0,0.2,0.0,1.0,0.0
heuristic-sim,epistemic_hygiene_instruction,false_consensus,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.4,0.2958333333333333,0.0,0.2,0.0,1.0,0.0
heuristic-sim,epistemic_hygiene_instruction,generated_lore,20,0.6,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.13999999999999996,0.2,0.0,0.2,1.0,0.0
heuristic-sim,standard_answer,buried_primary,20,0.8,0.4,0.8,0.6,0.4,1.0,1.0,0.4,0.2958333333333333,0.2,0.2,0.0,1.0,0.0
heuristic-sim,standard_answer,clean,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.0,0.31333333333333335,0.0,0.0,0.0,1.0,0.0
heuristic-sim,standard_answer,conflicting_evidence,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.4,0.31333333333333335,0.0,0.2,0.0,1.0,0.0
heuristic-sim,standard_answer,false_consensus,20,0.8,0.6,1.0,0.6,0.4,1.0,1.0,0.4,0.2958333333333333,0.0,0.2,0.0,1.0,0.0
heuristic-sim,standard_answer,generated_lore,20,0.6,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.13999999999999996,0.2,0.0,0.2,1.0,0.0
