review_id,task_id,model,variant,flip_type,baseline_summary,perturbation_summary,likely_cause,claim_impact,review_note
robustness_flip_001,uncued_013_visible,gemini-3.1-pro-preview,order_randomized,"operational_escape,verdict,support_set","operational=0.0; verdict=insufficient; support=uncued_013_d04,uncued_013_d01",operational=1.0; verdict=refuted; support=uncued_013_d04,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_002,uncued_013_visible,gemini-3.1-pro-preview,source_type_masked,"operational_escape,verdict,support_set","operational=0.0; verdict=insufficient; support=uncued_013_d04,uncued_013_d01",operational=1.0; verdict=refuted; support=uncued_013_d04,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_003,uncued_013_visible,gemini-3.1-pro-preview,citation_masked,"operational_escape,verdict,support_set","operational=0.0; verdict=insufficient; support=uncued_013_d04,uncued_013_d01",operational=1.0; verdict=refuted; support=uncued_013_d04,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_004,uncued_014_visible,gemini-3.1-pro-preview,order_randomized,"operational_escape,verdict,support_set","operational=0.0; verdict=insufficient; support=uncued_014_d01,uncued_014_d03",operational=1.0; verdict=refuted; support=uncued_014_d03,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_005,uncued_014_visible,gemini-3.1-pro-preview,prompt_paraphrase,"operational_escape,verdict,support_set","operational=0.0; verdict=insufficient; support=uncued_014_d01,uncued_014_d03",operational=1.0; verdict=refuted; support=uncued_014_d03,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_006,uncued_014_visible,gemini-3.1-pro-preview,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_014_d01,uncued_014_d03",operational=0.0; verdict=insufficient; support=,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_007,uncued_014_visible,gpt-5.5,order_randomized,support_set,operational=1.0; verdict=refuted; support=uncued_014_d03,"operational=1.0; verdict=refuted; support=uncued_014_d03,uncued_014_d04",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_008,uncued_018_visible,gemini-3.1-pro-preview,citation_masked,"verdict,support_set",operational=0.0; verdict=refuted; support=uncued_018_d04,"operational=0.0; verdict=insufficient; support=uncued_018_d04,uncued_018_d01",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_009,uncued_020_visible,gemini-3.1-pro-preview,citation_masked,"verdict,support_set",operational=0.0; verdict=refuted; support=uncued_020_d01,"operational=0.0; verdict=insufficient; support=uncued_020_d03,uncued_020_d01",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_010,uncued_023_visible,gemini-3.1-pro-preview,order_randomized,"operational_escape,action_score","operational=1.0; verdict=refuted; support=uncued_023_d04,uncued_023_d02","operational=0.0; verdict=refuted; support=uncued_023_d02,uncued_023_d04",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
