schema_variant,model,n,parse_success_rate,empty_output_rate,schema_missing_rate,belief_correctness_rate,insufficient_verdict_rate,rejected_pollutant_rate,polluted_supporting_evidence_rate,dual_role_pollutant_rate,role_escape,diagnostic_pollutant_rate,prompt_condition,full_escape
clarified_schema,claude-opus-4-7,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.925,all,
clarified_schema,claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.95,epistemic_hygiene_instruction,
clarified_schema,claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,standard_answer,
clarified_schema,gemini-3.1-pro-preview,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,all,
clarified_schema,gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,epistemic_hygiene_instruction,
clarified_schema,gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,standard_answer,
clarified_schema,gpt-5.4,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,all,
clarified_schema,gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,epistemic_hygiene_instruction,
clarified_schema,gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,standard_answer,
current_schema,claude-opus-4-7,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,all,0.6
current_schema,claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,epistemic_hygiene_instruction,0.6
current_schema,claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,standard_answer,0.6
current_schema,gemini-3.1-pro-preview,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,all,0.425
current_schema,gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,epistemic_hygiene_instruction,0.4
current_schema,gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,standard_answer,0.45
current_schema,gpt-5.4,40,1.0,0.0,0.0,1.0,1.0,1.0,0.9,0.875,,,all,0.1
current_schema,gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,0.8,0.8,,,epistemic_hygiene_instruction,0.2
current_schema,gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,,,standard_answer,0.0
