model,strategy,duplicate_count,n,wrong_answer_rate,mean_wrong_confidence,polluted_mistake_rate
openai/gpt-4o-mini,citation_prompt,1,3,0.0,0.0,0.0
openai/gpt-4o-mini,citation_prompt,5,6,1.0,0.9500000000000001,1.0
openai/gpt-4o-mini,citation_prompt,20,3,1.0,0.9499999999999998,1.0
openai/gpt-4o-mini,citation_prompt,50,3,1.0,0.9500000000000001,1.0
openai/gpt-4o-mini,evidence_graph_prompt,1,3,0.0,0.0,0.0
openai/gpt-4o-mini,evidence_graph_prompt,5,6,1.0,0.8833333333333333,1.0
openai/gpt-4o-mini,evidence_graph_prompt,20,3,1.0,0.9,1.0
openai/gpt-4o-mini,evidence_graph_prompt,50,3,1.0,0.9,1.0
openai/gpt-4o-mini,source_independence_prompt,1,3,0.0,0.0,0.0
openai/gpt-4o-mini,source_independence_prompt,5,6,1.0,0.9,1.0
openai/gpt-4o-mini,source_independence_prompt,20,3,1.0,0.9166666666666666,1.0
openai/gpt-4o-mini,source_independence_prompt,50,3,1.0,0.9166666666666666,1.0
openai/gpt-4o-mini,topk_rag,1,3,0.0,0.0,0.0
openai/gpt-4o-mini,topk_rag,5,6,1.0,0.9333333333333332,1.0
openai/gpt-4o-mini,topk_rag,20,3,1.0,0.9333333333333332,1.0
openai/gpt-4o-mini,topk_rag,50,3,1.0,0.9666666666666667,1.0
