task_id,base_task_id,view,model,family,condition,gold_verdict,predicted_verdict,belief_correctness,operational_epistemic_escape,support_doc_ids,polluted_support_doc_ids,selected_doc_ids,rejected_doc_ids,rejection_cue_present,explicit_polluted_rejection,primary_source_action_or_cue,target_candidate,strict_current_score,strict_current_status,prose_aware_rejected_score,prose_aware_rejected_status,action_aware_partial_score,action_aware_partial_status,classification
uncued_012_visible,uncued_012,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_012_d03,uncued_012_d03,"uncued_012_d04,uncued_012_d03,uncued_012_d01",uncued_012_d04,1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_013_visible,uncued_013,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_013_d01,uncued_013_d01,"uncued_013_d04,uncued_013_d01,uncued_013_d02","uncued_013_d03,uncued_013_d02",1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_013_hidden,uncued_013,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_013_d03,uncued_013_d03,"uncued_013_d04,uncued_013_d03,uncued_013_d01",uncued_013_d04,1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_014_hidden,uncued_014,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_014_d02,uncued_014_d02,"uncued_014_d03,uncued_014_d02,uncued_014_d04","uncued_014_d02,uncued_014_d04,uncued_014_d01",1,1,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_015_visible,uncued_015,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_015_d01,uncued_015_d01,"uncued_015_d04,uncued_015_d01",uncued_015_d04,1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_015_hidden,uncued_015,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_015_d04,uncued_015_d04,"uncued_015_d01,uncued_015_d04,uncued_015_d02",uncued_015_d01,1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_012_visible,uncued_012,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,uncued_012_d03,uncued_012_d03,"uncued_012_d04,uncued_012_d03,uncued_012_d01",uncued_012_d04,1,0,1,0,0.0,fail,0.0,fail,0.0,fail,strict_true_failure
uncued_016_visible,uncued_016,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_016_d04,uncued_016_d04,"uncued_016_d03,uncued_016_d04","uncued_016_d01,uncued_016_d02",1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_017_visible,uncued_017,neutral_metadata_visible,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_017_d03,uncued_017_d03,"uncued_017_d04,uncued_017_d03","uncued_017_d01,uncued_017_d02",1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
uncued_017_hidden,uncued_017,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,0.0,uncued_017_d02,uncued_017_d02,"uncued_017_d01,uncued_017_d02",uncued_017_d01,1,0,1,0,0.0,fail,1.0,pass,1.0,pass,likely_schema_allocation_artifact
