row_id,source_run,variant,task_id,base_task_id,view,model,family,condition,gold_verdict,predicted_verdict,parse_success,belief_correctness,operational_epistemic_escape,primary_failure_component,belief_correct_but_operational_failed,insufficient_verdict,supported_or_refuted_verdict,polluted_support_present,clean_support_present,all_support_polluted,support_mentions_primary_source,verification_action_present,verification_action_targets_primary,robustness_variant_row,generated_lore_selected,duplicate_root_count,support_doc_ids,selected_doc_ids,polluted_support_doc_ids,clean_support_doc_ids
1,pilot,,uncued_000_visible,uncued_000,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,uncued_000_d03,,uncued_000_d03
2,pilot,,uncued_000_visible,uncued_000,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,"uncued_000_d03,uncued_000_d01,uncued_000_d04",,uncued_000_d03
3,pilot,,uncued_000_hidden,uncued_000,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,uncued_000_d03,,uncued_000_d03
4,pilot,,uncued_000_hidden,uncued_000,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,"uncued_000_d03,uncued_000_d04,uncued_000_d01",,uncued_000_d03
5,pilot,,uncued_000_visible,uncued_000,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,insufficient,1.0,0.0,0.0,belief_incorrect,0,1,0,0,1,0,1,1,1,0,0,0,uncued_000_d03,"uncued_000_d03,uncued_000_d01,uncued_000_d04",,uncued_000_d03
6,pilot,,uncued_000_visible,uncued_000,neutral_metadata_visible,deepseek-v4-pro,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,uncued_000_d03,,uncued_000_d03
7,pilot,,uncued_001_visible,uncued_001,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,0,0,0,1,1,0,0,0,,"uncued_001_d03,uncued_001_d02,uncued_001_d01",,
8,pilot,,uncued_001_visible,uncued_001,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d03,uncued_001_d03,,uncued_001_d03
9,pilot,,uncued_001_hidden,uncued_001,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,0,0,0,1,1,0,0,0,,"uncued_001_d01,uncued_001_d02,uncued_001_d04",,
10,pilot,,uncued_000_hidden,uncued_000,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,"uncued_000_d03,uncued_000_d02,uncued_000_d04",,uncued_000_d03
11,pilot,,uncued_000_hidden,uncued_000,neutral_metadata_hidden,deepseek-v4-pro,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_000_d03,uncued_000_d03,,uncued_000_d03
12,pilot,,uncued_001_hidden,uncued_001,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d01,uncued_001_d01,,uncued_001_d01
13,pilot,,uncued_001_visible,uncued_001,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d03,"uncued_001_d03,uncued_001_d04,uncued_001_d01",,uncued_001_d03
14,pilot,,uncued_001_hidden,uncued_001,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d01,"uncued_001_d01,uncued_001_d02,uncued_001_d03",,uncued_001_d01
15,pilot,,uncued_002_visible,uncued_002,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d01,"uncued_002_d01,uncued_002_d03,uncued_002_d04",,uncued_002_d01
16,pilot,,uncued_002_visible,uncued_002,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d01,uncued_002_d01,,uncued_002_d01
17,pilot,,uncued_002_visible,uncued_002,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d01,"uncued_002_d01,uncued_002_d03,uncued_002_d02",,uncued_002_d01
18,pilot,,uncued_002_hidden,uncued_002,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d03,"uncued_002_d03,uncued_002_d01,uncued_002_d04",,uncued_002_d03
19,pilot,,uncued_002_hidden,uncued_002,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d03,uncued_002_d03,,uncued_002_d03
20,pilot,,uncued_002_hidden,uncued_002,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_002_d03,"uncued_002_d03,uncued_002_d01,uncued_002_d02",,uncued_002_d03
21,pilot,,uncued_003_visible,uncued_003,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,0,0,0,1,1,0,0,0,,"uncued_003_d03,uncued_003_d04,uncued_003_d02",,
22,pilot,,uncued_003_visible,uncued_003,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_003_d03,uncued_003_d03,,uncued_003_d03
23,pilot,,uncued_003_hidden,uncued_003,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,0,0,0,1,1,0,0,0,,uncued_003_d01,,
24,pilot,,uncued_001_visible,uncued_001,neutral_metadata_visible,deepseek-v4-pro,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d03,uncued_001_d03,,uncued_001_d03
25,pilot,,uncued_003_visible,uncued_003,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_003_d03,"uncued_003_d03,uncued_003_d04,uncued_003_d01",,uncued_003_d03
26,pilot,,uncued_004_visible,uncued_004,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d01,"uncued_004_d01,uncued_004_d03,uncued_004_d04",,uncued_004_d01
27,pilot,,uncued_003_hidden,uncued_003,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_003_d01,"uncued_003_d01,uncued_003_d03,uncued_003_d02",,uncued_003_d01
28,pilot,,uncued_004_hidden,uncued_004,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d02,"uncued_004_d02,uncued_004_d04,uncued_004_d01",,uncued_004_d02
29,pilot,,uncued_003_hidden,uncued_003,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_003_d01,uncued_003_d01,,uncued_003_d01
30,pilot,,uncued_004_visible,uncued_004,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d01,"uncued_004_d01,uncued_004_d03,uncued_004_d02",,uncued_004_d01
31,pilot,,uncued_005_visible,uncued_005,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,0,0,0,1,1,0,0,0,,"uncued_005_d02,uncued_005_d03,uncued_005_d01",,
32,pilot,,uncued_004_visible,uncued_004,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d01,uncued_004_d01,,uncued_004_d01
33,pilot,,uncued_005_hidden,uncued_005,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_005_d02,,
34,pilot,,uncued_001_hidden,uncued_001,neutral_metadata_hidden,deepseek-v4-pro,packet_judgment,clean,refuted,refuted,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_001_d01,uncued_001_d01,,uncued_001_d01
35,pilot,,uncued_006_visible,uncued_006,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_006_d04,"uncued_006_d04,uncued_006_d03,uncued_006_d01",,uncued_006_d04
36,pilot,,uncued_004_hidden,uncued_004,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d02,"uncued_004_d02,uncued_004_d04,uncued_004_d01",,uncued_004_d02
37,pilot,,uncued_004_hidden,uncued_004,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1.0,none,0,0,1,0,1,0,1,1,1,0,0,0,uncued_004_d02,uncued_004_d02,,uncued_004_d02
