audit_id,task_id,base_task_id,condition,family,model,schema_variant,prompt_condition,semantic_verdict_agrees,support_hygiene_agrees,rejection_hygiene_agrees,diagnostic_field_agrees,selected_primary_agrees,action_quality_agrees,role_escape_agrees,operational_escape_proxy_agrees,scorer_fix_needed,severity,auditor_note,evidence_refs
codex_schema_audit_001,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gpt-5.5,current,standard_answer,1,1,1,not_applicable,1,not_applicable,1,1,0,none,"Verdict insufficient is checked against gold insufficient; support uncued_048_d02,uncued_048_d03 has polluted overlap none.","results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/current/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/current/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_002,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gpt-5.5,clarified,standard_answer,1,1,1,1,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/clarified/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/clarified/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_003,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gemini-3.1-pro-preview,current,standard_answer,1,1,1,not_applicable,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/current/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/current/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_004,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gpt-5.5,minimal,standard_answer,1,1,not_applicable,not_applicable,1,not_applicable,1,1,0,none,"Verdict insufficient is checked against gold insufficient; support uncued_048_d01,uncued_048_d02,uncued_048_d03,uncued_048_d04 has polluted overlap uncued_048_d01,uncued_048_d04.","results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/minimal/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/minimal/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_005,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gemini-3.1-pro-preview,minimal,standard_answer,1,1,not_applicable,not_applicable,1,not_applicable,1,1,0,none,"Verdict insufficient is checked against gold insufficient; support uncued_048_d01,uncued_048_d02,uncued_048_d03,uncued_048_d04 has polluted overlap uncued_048_d01,uncued_048_d04.","results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/minimal/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/minimal/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_006,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gemini-3.1-pro-preview,clarified,standard_answer,1,1,1,1,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/clarified/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/clarified/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_007,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gpt-5.5,diagnostic_no_hygiene,standard_answer,1,1,1,1,1,not_applicable,1,1,0,none,"Verdict insufficient is checked against gold insufficient; support uncued_048_d01 provides the only direct positive statement, but it is weak because it lacks a linked operational record.,uncued_048_d03 is an operations memo for March 2025 that does not mention the HelioSplice partner repair program. has polluted overlap none.","results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/diagnostic_no_hygiene/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/diagnostic_no_hygiene/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_008,uncued_048_visible,uncued_048,generated_lore,packet_judgment,gemini-3.1-pro-preview,diagnostic_no_hygiene,standard_answer,1,1,1,1,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/diagnostic_no_hygiene/uncued_048_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gemini-3.1-pro-preview/standard_answer/diagnostic_no_hygiene/uncued_048_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_009,uncued_049_visible,uncued_049,generated_lore,packet_judgment,gpt-5.5,current,standard_answer,1,1,1,not_applicable,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/current/uncued_049_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/current/uncued_049_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
codex_schema_audit_010,uncued_049_visible,uncued_049,generated_lore,packet_judgment,gpt-5.5,clarified,standard_answer,1,1,1,1,1,not_applicable,1,1,0,none,Verdict insufficient is checked against gold insufficient; support none has polluted overlap none.,"results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/clarified/uncued_049_visible.prompt.json,results/reports-eha-uncued-schema-ablation-2026-05-23/artifacts/gpt-5.5/standard_answer/clarified/uncued_049_visible.response.json,results/reports-eha-uncued-schema-ablation-2026-05-23/schema_ablation_rows.csv,data/uncued-pilot-v1/gold_documents.jsonl,data/uncued-pilot-v1/latent_tasks.jsonl"
