model,strategy,duplicate_count,n,wrong_answer_rate,mean_wrong_confidence,polluted_mistake_rate
openai/gpt-5-mini,citation_prompt,1,1,0.0,0.0,0.0
openai/gpt-5-mini,citation_prompt,5,1,0.0,0.0,0.0
openai/gpt-5-mini,citation_prompt,20,1,0.0,0.0,0.0
openai/gpt-5-mini,evidence_graph_prompt,1,1,0.0,0.0,0.0
openai/gpt-5-mini,evidence_graph_prompt,5,1,0.0,0.0,0.0
openai/gpt-5-mini,evidence_graph_prompt,20,1,0.0,0.0,0.0
openai/gpt-5-mini,source_independence_prompt,1,1,0.0,0.0,0.0
openai/gpt-5-mini,source_independence_prompt,5,1,0.0,0.0,0.0
openai/gpt-5-mini,source_independence_prompt,20,1,0.0,0.0,0.0
openai/gpt-5-mini,topk_rag,1,1,0.0,0.0,0.0
openai/gpt-5-mini,topk_rag,5,1,0.0,0.0,0.0
openai/gpt-5-mini,topk_rag,20,1,0.0,0.0,0.0
