model,condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_precision,clean_support_recall,polluted_support_rate,rejected_pollutant_rate,dual_role_rate,support_empty_rate,uncertainty_discipline,verification_action_score,exact_target_rate,required_action_recall,cost_usd
claude-opus-4-7,buried_primary,24,0.5416666666666666,0.5416666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.875,1.0,0.875,0.0014689166666666668
claude-opus-4-7,clean,24,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0013889166666666668
claude-opus-4-7,conflicting_evidence,24,0.125,0.125,1.0,1.0,0.2608695652173913,0.25,0.7083333333333334,0.3333333333333333,0.041666666666666664,0.041666666666666664,1.0,0.875,1.0,0.875,0.0014525416666666669
claude-opus-4-7,false_consensus,24,0.125,0.125,1.0,0.6666666666666666,0.38095238095238093,0.3333333333333333,0.5416666666666666,0.5833333333333334,0.125,0.125,0.6666666666666666,0.5,1.0,0.5,0.0014764583333333333
claude-opus-4-7,generated_lore,24,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.08333333333333333,0.041666666666666664,0.0,1.0,1.0,1.0,1.0,0.0015893749999999999
deepseek-v4-pro,buried_primary,24,0.4166666666666667,0.4166666666666667,1.0,0.9166666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.9166666666666666,0.625,1.0,0.625,0.00366975
deepseek-v4-pro,clean,24,0.5,0.5,1.0,0.7916666666666666,0.9705882352941176,0.7083333333333334,0.0,0.0,0.0,0.2916666666666667,0.7916666666666666,0.75,1.0,0.75,0.0035203749999999996
deepseek-v4-pro,conflicting_evidence,24,0.125,0.125,1.0,0.4583333333333333,0.14583333333333334,0.16666666666666666,0.875,0.125,0.0,0.0,0.4583333333333333,0.5,1.0,0.5,0.00449625
deepseek-v4-pro,false_consensus,24,0.125,0.125,1.0,0.3333333333333333,0.22727272727272727,0.20833333333333334,0.7083333333333334,0.20833333333333334,0.0,0.08333333333333333,0.3333333333333333,0.5,1.0,0.5,0.004730416666666667
deepseek-v4-pro,generated_lore,24,0.0,0.0,1.0,0.7916666666666666,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.7916666666666666,0.875,1.0,0.875,0.004808208333333334
gemini-3.1-pro-preview,buried_primary,24,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.625,1.0,0.625,0.003697239583333333
gemini-3.1-pro-preview,clean,24,0.625,0.625,1.0,0.9583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,1.0,1.0,0.0037032291666666667
gemini-3.1-pro-preview,conflicting_evidence,24,0.2916666666666667,0.2916666666666667,1.0,0.7916666666666666,0.7291666666666666,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0,0.0,0.7916666666666666,0.625,1.0,0.625,0.003918739583333333
gemini-3.1-pro-preview,false_consensus,24,0.4166666666666667,0.4166666666666667,1.0,0.875,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.9583333333333334,0.0,0.0,0.875,0.625,1.0,0.625,0.004340197916666667
gemini-3.1-pro-preview,generated_lore,24,0.3333333333333333,0.3333333333333333,1.0,0.9583333333333334,0.0,0.0,0.375,0.9166666666666666,0.0,0.625,0.9583333333333334,1.0,1.0,1.0,0.0041481875
gpt-5.5,buried_primary,24,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.75,0.02095
gpt-5.5,clean,24,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,1.0,1.0,0.018435416666666666
gpt-5.5,conflicting_evidence,24,0.4583333333333333,0.4583333333333333,1.0,1.0,0.7708333333333334,1.0,0.0,1.0,0.0,0.0,1.0,0.625,1.0,0.625,0.021228333333333335
gpt-5.5,false_consensus,24,0.5416666666666666,0.5416666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.875,1.0,0.875,0.022813749999999997
gpt-5.5,generated_lore,24,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,0.75,1.0,0.75,0.024817083333333333
