baseline,view,condition,family,n,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,action_target_score,operational_epistemic_escape
always_insufficient,neutral_metadata_hidden,buried_primary,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,buried_primary,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,buried_primary,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,clean,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,clean,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,clean,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,conflicting_evidence,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,conflicting_evidence,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,conflicting_evidence,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,false_consensus,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,false_consensus,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,false_consensus,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,generated_lore,active_verification,4,1.0,0.0,1.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_hidden,generated_lore,evidence_selection,4,1.0,0.0,1.0,0.0,0.0,1.0
always_insufficient,neutral_metadata_hidden,generated_lore,packet_judgment,4,1.0,0.0,1.0,0.0,0.0,1.0
always_insufficient,neutral_metadata_visible,buried_primary,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,buried_primary,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,buried_primary,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,clean,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,clean,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,clean,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,conflicting_evidence,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,conflicting_evidence,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,conflicting_evidence,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,false_consensus,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,false_consensus,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,false_consensus,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,generated_lore,active_verification,4,1.0,0.0,1.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,generated_lore,evidence_selection,4,1.0,0.0,1.0,0.0,0.0,1.0
always_insufficient,neutral_metadata_visible,generated_lore,packet_judgment,4,1.0,0.0,1.0,0.0,0.0,1.0
citation_graph_only,neutral_metadata_hidden,buried_primary,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,buried_primary,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,buried_primary,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,clean,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,clean,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,clean,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,conflicting_evidence,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,conflicting_evidence,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,conflicting_evidence,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,false_consensus,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,false_consensus,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,false_consensus,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,generated_lore,active_verification,4,1.0,0.0,1.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,generated_lore,evidence_selection,4,1.0,0.0,1.0,0.0,0.0,1.0
citation_graph_only,neutral_metadata_hidden,generated_lore,packet_judgment,4,1.0,0.0,1.0,0.0,0.0,1.0
citation_graph_only,neutral_metadata_visible,buried_primary,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,buried_primary,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,buried_primary,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,clean,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,clean,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,clean,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,conflicting_evidence,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,conflicting_evidence,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,conflicting_evidence,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,false_consensus,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,false_consensus,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,false_consensus,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,generated_lore,active_verification,4,1.0,0.0,1.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,generated_lore,evidence_selection,4,1.0,0.0,1.0,0.0,0.0,1.0
citation_graph_only,neutral_metadata_visible,generated_lore,packet_judgment,4,1.0,0.0,1.0,0.0,0.0,1.0
claim_overlap_only,neutral_metadata_hidden,buried_primary,active_verification,2,0.0,0.0,0.0,0.0,0.0,0.0
claim_overlap_only,neutral_metadata_hidden,buried_primary,evidence_selection,5,0.0,0.0,0.0,0.0,0.0,0.0
claim_overlap_only,neutral_metadata_hidden,buried_primary,packet_judgment,5,0.0,0.0,0.0,0.0,0.0,0.0
