model,prompt_condition,condition,n,epistemic_escape,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,parse_success,cost_usd
openai/gpt-4o-mini,epistemic_hygiene_instruction,buried_primary,20,0.8,0.65,0.95,0.65,0.8,0.8,1.0,0.8,0.44749999999999995,0.55,0.6,0.0,1.0,0.00049671
openai/gpt-4o-mini,epistemic_hygiene_instruction,clean,20,0.8,0.8,1.0,0.8,1.0,1.0,1.0,0.0,0.6183333333333334,0.55,0.4,0.0,1.0,0.0004741275
openai/gpt-4o-mini,epistemic_hygiene_instruction,conflicting_evidence,20,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.5791666666666667,0.85,1.0,0.0,1.0,0.00046574249999999995
openai/gpt-4o-mini,epistemic_hygiene_instruction,false_consensus,20,0.95,0.95,1.0,0.95,1.0,0.8,1.0,1.0,0.44749999999999995,0.75,0.8,0.0,1.0,0.0004995
openai/gpt-4o-mini,epistemic_hygiene_instruction,generated_lore,20,0.4,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.1,0.2,1.0,0.000478695
openai/gpt-4o-mini,standard_answer,buried_primary,20,0.75,0.8,0.85,0.9,0.8,0.75,1.0,0.8,0.375,0.65,0.8,0.0,1.0,0.00047727
openai/gpt-4o-mini,standard_answer,clean,20,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5991666666666666,0.75,0.75,0.0,1.0,0.0004506375
openai/gpt-4o-mini,standard_answer,conflicting_evidence,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5141666666666667,0.7,1.0,0.0,1.0,0.00044936250000000003
openai/gpt-4o-mini,standard_answer,false_consensus,20,1.0,1.0,0.95,1.0,1.0,0.8,1.0,1.0,0.4141666666666667,0.85,1.0,0.0,1.0,0.00047501999999999993
openai/gpt-4o-mini,standard_answer,generated_lore,20,0.4,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.6,1.0,0.000463395
openai/gpt-5-mini,epistemic_hygiene_instruction,buried_primary,20,0.35,0.35,1.0,0.35,0.35,1.0,1.0,0.35,0.18333333333333332,0.3,0.35,0.0,0.35,0.0032736500000000003
openai/gpt-5-mini,epistemic_hygiene_instruction,clean,20,0.4,0.4,1.0,0.4,0.4,1.0,1.0,0.0,0.24166666666666664,0.4,0.15,0.0,0.4,0.0032331125000000004
openai/gpt-5-mini,epistemic_hygiene_instruction,conflicting_evidence,20,0.3,0.4,0.95,0.4,0.4,1.0,1.0,0.4,0.20833333333333334,0.15,0.4,0.0,0.4,0.0031444374999999997
openai/gpt-5-mini,epistemic_hygiene_instruction,false_consensus,20,0.3,0.3,1.0,0.3,0.3,0.95,1.0,0.3,0.13333333333333333,0.25,0.3,0.0,0.3,0.0032640000000000004
openai/gpt-5-mini,epistemic_hygiene_instruction,generated_lore,20,0.45,1.0,1.0,1.0,0.0,0.75,0.75,0.0,0.0,0.2,0.05,0.2,0.25,0.003278225
openai/gpt-5-mini,standard_answer,buried_primary,20,0.4,0.4,1.0,0.4,0.4,1.0,1.0,0.4,0.2,0.35,0.4,0.0,0.4,0.00314295
openai/gpt-5-mini,standard_answer,clean,20,0.45,0.45,1.0,0.45,0.45,1.0,1.0,0.0,0.2833333333333333,0.35,0.2,0.0,0.45,0.0032010125
