model,task_id,condition,prompt_condition,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,verification_action_score,operational_epistemic_escape,wants_primary,wants_contradiction,wants_trace_source,action_gate_pass,missing_primary_action,missing_contradiction_action,missing_trace_source_action,actions
gpt-5.4,ert_080,clean,standard_answer,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_000_pollutant_root"", ""rationale"": ""Check whether the “pending” claim is independent or copied from one upstream note.""}, {""action"": ""compare_versions"", ""target"": ""eham_000_pollutant_root vs eham_000_primary_a"", ""rationale"": ""Compare the dated planning note against the later signed audit records.""}]"
gpt-5.4,ert_080,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_000_primary_a"", ""rationale"": ""Use the signed audit record as the primary basis.""}, {""action"": ""trace_source"", ""target"": ""eham_000_primary_b"", ""rationale"": ""Check whether corroboration is independent or just repeats eham_000_primary_a.""}]"
gpt-5.4,ert_081,clean,standard_answer,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_001_primary_a"", ""rationale"": ""Inspect the strongest direct record and its corroboration.""}, {""action"": ""trace_source"", ""target"": ""eham_001_pollutant_root"", ""rationale"": ""Check whether contrary items share a single outdated upstream source.""}]"
gpt-5.4,ert_081,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_001_primary_a"", ""rationale"": ""Prioritize the signed audit report as the strongest primary record.""}, {""action"": ""trace_source"", ""target"": ""eham_001_primary_b"", ""rationale"": ""Check whether corroboration is independent or just repeats eham_001_primary_a.""}]"
gpt-5.4,ert_082,clean,standard_answer,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_002_primary_a"", ""rationale"": ""Inspect the strongest primary-looking record and its corroboration.""}, {""action"": ""trace_source"", ""target"": ""eham_002_pollutant_root"", ""rationale"": ""Check whether the contrary claim is derivative of an older upstream note.""}]"
gpt-5.4,ert_082,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_002_primary_a"", ""rationale"": ""Use the primary signed audit record to judge completion date and renewal status.""}, {""action"": ""trace_source"", ""target"": ""eham_002_primary_b"", ""rationale"": ""Check whether corroboration is independent or just repeats the primary record.""}]"
gpt-5.4,ert_083,clean,standard_answer,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_003_pollutant_root"", ""rationale"": ""Check whether the pending claim is derivative and outdated.""}, {""action"": ""open"", ""target"": ""eham_003_primary_a"", ""rationale"": ""Use the strongest direct record for the completion date.""}]"
gpt-5.4,ert_083,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_003_primary_a"", ""rationale"": ""Use the signed audit record because it is the strongest primary evidence.""}, {""action"": ""trace_source"", ""target"": ""eham_003_primary_b"", ""rationale"": ""Check whether corroboration is independent or just repeats eham_003_primary_a.""}]"
gpt-5.4,ert_084,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_048_pollutant_root"", ""rationale"": ""Multiple 'valid through 2025' items appear copied from one upstream summary.""}, {""action"": ""open"", ""target"": ""eham_048_primary_a"", ""rationale"": ""Most probative direct record for January 2025 status.""}]"
gpt-5.4,ert_084,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_048_primary_a"", ""rationale"": ""Use the dated signed certification record closest to January 2025.""}, {""action"": ""trace_source"", ""target"": ""eham_048_pollutant_root"", ""rationale"": ""Check whether the pro-validity cluster is independent or just repeats one upstream summary.""}]"
gpt-5.4,ert_085,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_049_repost_00"", ""rationale"": ""Check whether pro-validity items are independent or copied from one upstream summary.""}, {""action"": ""open"", ""target"": ""eham_049_primary_a"", ""rationale"": ""Prioritize the dated signed certification record closest to January 2025.""}]"
gpt-5.4,ert_085,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_049_primary_a"", ""rationale"": ""Prioritize the dated signed certification record closest to January 2025.""}, {""action"": ""trace_source"", ""target"": ""eham_049_pollutant_root"", ""rationale"": ""Check whether the pro-validity items are pseudo-consensus from one upstream summary.""}]"
gpt-5.4,ert_086,conflicting_evidence,standard_answer,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_050_repost_00"", ""rationale"": ""Check whether pro-validity items are independent or derivative.""}, {""action"": ""compare_versions"", ""target"": ""eham_050_primary_a vs eham_050_pollutant_root"", ""rationale"": ""Compare later signed record against earlier summary claims.""}]"
gpt-5.4,ert_086,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_050_repost_00"", ""rationale"": ""Secondary 'valid through 2025' items converge on the same upstream summary, so they are weak pseudo-consensus.""}, {""action"": ""compare_versions"", ""target"": ""eham_050_pollutant_root"", ""rationale"": ""Compare the older summary with the later signed certification record to check for superseding status evidence.""}]"
gpt-5.4,ert_087,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_051_pollutant_root"", ""rationale"": ""Secondary 'valid through 2025' items appear copied from the same upstream summary, so provenance is weak.""}, {""action"": ""compare_versions"", ""target"": ""eham_051_primary_a"", ""rationale"": ""Compare late-2024 summary claims against the signed 2025 record to resolve timing conflict.""}]"
gpt-5.4,ert_087,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""open"", ""target"": ""eham_051_primary_a"", ""rationale"": ""Use the signed 2025-Q1 certification record as the key primary item.""}, {""action"": ""trace_source"", ""target"": ""eham_051_pollutant_root"", ""rationale"": ""Check whether the pro-validity items are independent or copied from one upstream summary.""}]"
gpt-5.4,ert_088,false_consensus,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_072_pollutant_root"", ""rationale"": ""Many documents repeat the same 1.7% figure from one upstream summary.""}, {""action"": ""open"", ""target"": ""eham_072_primary_a"", ""rationale"": ""Inspect the strongest primary-looking record with audited figures.""}]"
gpt-5.4,ert_088,false_consensus,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_072_pollutant_root"", ""rationale"": ""Clustered 1.7% claims all route back to the same unsupported summary, so they are weak pseudo-consensus.""}, {""action"": ""open"", ""target"": ""eham_072_primary_a"", ""rationale"": ""Use the signed audit as the highest-value primary record for the 2024 rate.""}]"
gpt-5.4,ert_089,false_consensus,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_073_pollutant_root"", ""rationale"": ""Most 1.7% claims appear copied from one upstream summary, not independent evidence.""}, {""action"": ""open"", ""target"": ""eham_073_primary_a"", ""rationale"": ""Audit report is the strongest direct record and should anchor the judgment.""}]"
gpt-5.4,ert_089,false_consensus,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_073_pollutant_root"", ""rationale"": ""Most 1.7% items appear copied from the same upstream summary, so they are weak pseudo-consensus.""}, {""action"": ""open"", ""target"": ""eham_073_primary_a"", ""rationale"": ""Open the audited record because it is the strongest primary-style evidence in the set.""}]"
gpt-5.4,ert_090,false_consensus,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_074_pollutant_root"", ""rationale"": ""Most 1.7% items appear copied from one upstream summary, so independence is weak.""}, {""action"": ""open"", ""target"": ""eham_074_primary_a"", ""rationale"": ""Audit report appears primary and directly relevant to the 2024 rate.""}]"
gpt-5.4,ert_090,false_consensus,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_074_pollutant_root"", ""rationale"": ""The many 1.7% items appear copied from one upstream summary, so they are weak pseudo-consensus.""}, {""action"": ""open"", ""target"": ""eham_074_primary_a"", ""rationale"": ""Use the signed audit as the highest-value primary-like record for the 2024 rate.""}]"
gpt-5.4,ert_091,false_consensus,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_075_pollutant_root"", ""rationale"": ""Most 1.7% claims appear copied from one upstream summary.""}, {""action"": ""open"", ""target"": ""eham_075_primary_a"", ""rationale"": ""Audit report is the strongest primary-style record for the claim.""}]"
gpt-5.4,ert_091,false_consensus,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_075_pollutant_root"", ""rationale"": ""Map the repeated 1.7% claim to its shared upstream source.""}, {""action"": ""open"", ""target"": ""eham_075_primary_a"", ""rationale"": ""Prioritize the signed audit record because it is primary and directly quantifies 2024 recall rate.""}]"
gpt-5.4,ert_092,buried_primary,standard_answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Most items appear to derive from the same upstream summary, so independence is weak.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""No primary record or raw recall data is present in the provided environment.""}]"
gpt-5.4,ert_092,buried_primary,epistemic_hygiene_instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Most docs appear to derive from the same upstream summary, so trace dependence before trusting repetition.""}, {""action"": ""abstain"", ""target"": ""claim_verification"", ""rationale"": ""No primary record, audit, regulator filing, or raw recall data is present in the evidence set.""}]"
gpt-5.4,ert_093,buried_primary,standard_answer,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""Most items appear copied from one upstream summary; trace dependence before trusting repetition.""}, {""action"": ""search_primary"", ""target"": ""all provided documents"", ""rationale"": ""No raw recall records, regulator filing, or company dataset is present in the environment.""}]"
gpt-5.4,ert_093,buried_primary,epistemic_hygiene_instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""All later items point back to the same summary; trace the upstream source to test independence.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""No primary record, audit, filing, or regulator data is present in the environment.""}]"
gpt-5.4,ert_094,buried_primary,standard_answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_098_pollutant_root"", ""rationale"": ""Most items appear copied from one upstream summary; provenance must be checked.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""No primary records or raw recall data are present in the environment.""}]"
gpt-5.4,ert_094,buried_primary,epistemic_hygiene_instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_098_pollutant_root"", ""rationale"": ""Most documents visibly route back to eham_098_pollutant_root, so upstream dependence must be checked.""}, {""action"": ""abstain"", ""target"": ""claim_verification"", ""rationale"": ""No primary record, audit, regulator filing, or raw recall dataset is present in this environment.""}]"
gpt-5.4,ert_095,buried_primary,standard_answer,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_099_pollutant_root"", ""rationale"": ""Most items loop back to eham_099_pollutant_root, suggesting a single upstream claim without primary data.""}, {""action"": ""search_primary"", ""target"": ""provided evidence environment"", ""rationale"": ""Need raw recall records or audited filings; none appear in the provided set.""}]"
gpt-5.4,ert_095,buried_primary,epistemic_hygiene_instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_099_pollutant_root"", ""rationale"": ""Most items visibly route back to the same upstream summary, so independence is weak.""}, {""action"": ""abstain"", ""target"": ""claim_verification"", ""rationale"": ""No primary record, regulator filing, audit, or raw recall dataset is present in the evidence provided.""}]"
gpt-5.4,ert_096,generated_lore,standard_answer,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_120_pollutant_root"", ""rationale"": ""Multiple documents appear to copy the same upstream wording from eham_120_pollutant_root.""}, {""action"": ""search_primary"", ""target"": ""primary records for Project LumenShield"", ""rationale"": ""Need raw records from Novalis Robotics or project documentation; none are present here.""}]"
gpt-5.4,ert_096,generated_lore,epistemic_hygiene_instruction,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_120_pollutant_root"", ""rationale"": ""Most affirmative items visibly trace back to the same upstream summary, so pseudo-consensus is likely.""}, {""action"": ""abstain"", ""target"": ""provided evidence environment"", ""rationale"": ""No primary records, filings, audits, or direct contradiction checks are present in the provided set.""}]"
gpt-5.4,ert_097,generated_lore,standard_answer,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_121_pollutant_root"", ""rationale"": ""Most items appear derivative of the same upstream summary; tracing dependency is key.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""No primary record or independent corroboration is present in the provided set.""}]"
gpt-5.4,ert_097,generated_lore,epistemic_hygiene_instruction,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_121_pollutant_root"", ""rationale"": ""Most claim-bearing docs point back to the same wiki-style summary, so source tracing is key.""}, {""action"": ""abstain"", ""target"": ""provided evidence environment"", ""rationale"": ""No primary record, filing, certification register, contract, or direct denial is provided.""}]"
gpt-5.4,ert_098,generated_lore,standard_answer,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_122_pollutant_root"", ""rationale"": ""Most repetition appears to flow from one upstream summary rather than independent reporting.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics / Project LumenShield 2024 primary records"", ""rationale"": ""No raw records, filings, contracts, or first-party project documents are present.""}]"
gpt-5.4,ert_098,generated_lore,epistemic_hygiene_instruction,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_122_pollutant_root"", ""rationale"": ""Most items appear to derive from the same upstream summary, so source tracing is the key reliability check.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics Project LumenShield 2024 primary record"", ""rationale"": ""No primary records, filings, audits, or direct company documents are present in the provided set.""}]"
gpt-5.4,ert_099,generated_lore,standard_answer,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_123_pollutant_root"", ""rationale"": ""Most repeats cite eham_123_pollutant_root; tracing it tests whether there is any primary basis.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""Provided evidence lacks primary records or reliable independent confirmation.""}]"
