variant,condition,n,delta_operational_escape,delta_belief_correctness,delta_evidence_precision,delta_polluted_support_rate,delta_action_score,pass_to_fail_operational,fail_to_pass_operational,support_set_changed,verdict_changed,action_score_changed
citation_masked,buried_primary,10,0.1,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.1
citation_masked,conflicting_evidence,10,0.1,-0.2,-0.05555555555555555,0.1,0.25,0.1,0.2,0.5,0.4,0.1
citation_masked,false_consensus,10,0.1,-0.1,-0.13333333333333336,0.2,0.25,0.1,0.2,0.2,0.3,0.1
citation_masked,generated_lore,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
order_randomized,buried_primary,10,0.1,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.1
order_randomized,conflicting_evidence,10,0.1,0.2,0.05,-0.2,-0.25,0.1,0.2,0.3,0.2,0.1
order_randomized,false_consensus,10,0.2,0.1,0.0,0.0,0.25,0.0,0.2,0.0,0.1,0.1
order_randomized,generated_lore,10,0.1,0.0,0.0,-0.1,-0.5,0.0,0.1,0.7,0.0,0.1
prompt_paraphrase,buried_primary,10,0.1,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.1
prompt_paraphrase,conflicting_evidence,10,0.1,0.1,0.1,-0.1,0.0,0.1,0.2,0.2,0.1,0.2
prompt_paraphrase,false_consensus,10,0.1,0.0,0.0,0.0,0.25,0.1,0.2,0.0,0.2,0.1
prompt_paraphrase,generated_lore,10,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0
source_type_masked,buried_primary,10,0.2,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.2
source_type_masked,conflicting_evidence,10,0.1,0.1,0.1,-0.1,0.0,0.0,0.1,0.2,0.1,0.0
source_type_masked,false_consensus,10,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
source_type_masked,generated_lore,10,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.6,0.0,0.1
