model,strategy,prompt,retriever,n,claim_accuracy,claim_accuracy_ci_low,claim_accuracy_ci_high,escape_rate,escape_rate_ci_low,escape_rate_ci_high,contaminated_citation_rate,contaminated_citation_rate_ci_low,contaminated_citation_rate_ci_high,has_required_supporting_evidence,has_required_supporting_evidence_ci_low,has_required_supporting_evidence_ci_high,clean_supporting_evidence,clean_supporting_evidence_ci_low,clean_supporting_evidence_ci_high,primary_in_context,primary_in_context_ci_low,primary_in_context_ci_high,primary_cited,primary_cited_ci_low,primary_cited_ci_high,primary_rejected,primary_rejected_ci_low,primary_rejected_ci_high,primary_ignored,primary_ignored_ci_low,primary_ignored_ci_high,primary_rank_n,mean_best_primary_context_rank
openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.375,0.20833333333333334,0.08333333333333333,0.375,0.7916666666666666,0.625,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,hygienic_combo_top8,24,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0,0.0,0.0,0.0,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.20833333333333334,24,1.0
openai/gpt-4o-mini,naive_bm25,simple_answer_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,primary_preserve_top8,24,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,24,1.0
openai/gpt-5-mini,careful_bm25,claim_first_citation_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-5-mini,hygienic_combo,claim_first_citation_v1,hygienic_combo_top8,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0
openai/gpt-5-mini,naive_bm25,simple_answer_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-5-mini,primary_preserve,claim_first_citation_v1,primary_preserve_top8,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0
openai/gpt-5.4-mini,careful_bm25,claim_first_citation_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-5.4-mini,hygienic_combo,claim_first_citation_v1,hygienic_combo_top8,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,24,1.0
openai/gpt-5.4-mini,naive_bm25,simple_answer_v1,bm25_top8,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
openai/gpt-5.4-mini,primary_preserve,claim_first_citation_v1,primary_preserve_top8,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,24,1.0
